AppID;Name;Release_Date;Primary_Genre;All_Tags;Price_USD;Review_Score_Pct_SteamDB;Total_Reviews;Positive_Reviews;Steam_Deck_Status;Estimated_Owners;24h_Peak_Players;Is_DLC?
361420;ASTRONEER;6/2/2019;Adventure;"Multiplayer;Open World Survival Craft;Open World;Space;Survival;Exploration;Base Building;Co-op;Sandbox;Adventure;Building;Crafting;Automation;Sci-fi;Singleplayer;Third Person;Colorful;Atmospheric;Simulation;Indie";29,99;90,76;138038;126924;Playable;4141140;1763;No
3115220;Town to City;26/5/2026;Indie;"City Builder;Building;Cozy;Voxel;Relaxing;Cute;Strategy;Management;Economy;Colorful;Casual;Sandbox;Family Friendly;Simulation;Resource Management;Singleplayer;Atmospheric;Indie;Soundtrack;Agriculture";29,99;94,44;6190;6060;Playable;185700;796;No
2273980;Orcs Must Die! Deathtrap;28/1/2025;Action;"Tower Defense;Co-op;Third-Person Shooter;Roguelite;Action;Strategy;Physics;Funny;Fantasy;PvE;Combat;Multiplayer;Online Co-op;Third Person;Hero Shooter;Action Rougelike;Singleplayer;Indie;Magic;Medieval";29,99;69,45;4513;3210;Playable;135390;195;No
2879840;Escape Simulator 2;27/10/2025;Adventure;"Co-op;Logic;Puzzle;Level Editor;Escape Room;Atmospheric;Adventure;Casual;Indie;First-Person;Hidden Object;Exploration;Online Co-op;Character Customization;Mystery;Simulation;Point & Click;Detective;Singleplayer;Investigation";19,99;88,75;4215;3885;Verified;126450;577;No
2104890;RoadCraft;20/5/2025;Adventure;"Simulation;Building;Driving;Physics;Online Co-Op;Adventure;Automobile Sim;Automation;Multiplayer;Nature;Exploration;Co-op;Destruction;Transportation;Immersive Sim;Realistic;3D;Modern;Base Building;Controller";39,99;73,54;15674;11739;Verified;470220;1480;No
1657630;Slime Rancher 2;23/9/2025;Action;"Cute;Relaxing;Open World;Singleplayer;Colorful;First-Person;Creature Collector;Adventure;Simulation;Casual;Family Friendly;Female Protagonist;3D;Fantasy;Building;FPS;Action-Adventure;Atmospheric;Action;Shooter";29,99;92,77;48237;45585;Verified;1447110;1281;No
1211020;Wobbly Life;18/9/2025;Action;"Adventure;Multiplayer;Open World;Sandbox;Simulation;Casual;Co-op;Funny;Action;Indie;Family Friendly;Physics;Split Screen;Online Co-op;Local Multiplayer;Early Access;Cute;Party;4 Player Local;Life Sim";23,23;95,16;34168;33212;Verified;1025040;960;No
3057670;Pluto;9/3/2026;Indie;"Strategy;Card Game;Roguelike;Deckbuilding;Dark Fantasy;Magic;Atmospheric;Singleplayer;2D;Indie;Fantasy;Hand-drawn;Roguelike Deckbuilder;Puzzle;Surreal";17,99;86,96;435;409;Playable;13050;32;No
529930;Banned Footage Vol.1;21/2/2017;Action;"Action;Adventure;Horror;Gore";9,99;70,13;558;411;Unknown;16740;0;Yes
530610;Banned Footage Vol.2;21/2/2017;Action;"Action;Adventure;Gore;Violent";14,99;69,8;643;470;Unknown;19290;0;Yes
540340;Resident Evil 7 - Season Pass;26/1/2017;Action;"Action;Adventure;Horror;Violent;Gore;Survival Horror;VR";29,99;61,83;695;443;Unknown;20850;0;Yes
564190;Not A Hero;12/12/2017;Action;"Adventure;Action;Gore;Violent;Horror;Survival Horror";0;80,46;1889;1586;Unknown;56670;0;Yes
1456360;Resident Evil Village - Trauma Pack;21/1/2021;Action;"Action;Gore;Violent;Horror";12,99;26,58;1109;259;Unknown;33270;0;Yes
1731080;Resident Evil Village - Winters’ Expansion;28/10/2022;Action;"Action;Gore;Violent;Horror;Survival Horror;Third Person;Third-Person Shooter";19,99;63,21;3527;2273;Unknown;105810;0;Yes
530611;End of Zoe;11/12/2017;Action;"Action;Adventure;Horror";14,99;82,65;1722;1490;Unknown;51660;0;Yes
2215200;LEGO® Batman™: Legacy of the Dark Knight;22/5/2026;Action;"Open World;Superhero;Co.op;Comic Book;Action-Adventure;Action;3D Platformer;Third Person;Funny;Multiplayer;Local Co-op;Adventure;Story Rich;Controller;Parody;Family Friendly;Singleplayer;Casual;Combat;Atmospheric";69,99;93,17;6755;6514;Verified;202650;22990;No
2646460;Soulmask;9/3/2026;Adventure;"Open World;Survival;Base Building;Colony Sim;Open World Survival Craft;Building;Automation;Resource Management;Sandbox;Hunting;War;Simulation;PvP;Crafting;Action-Adventure;3D;Third Person;Multiplayer;Exploration;Singleplayer";29,99;76,02;21482;16622;Playable;644460;6561;No
1384160;GUILTY GEAR -STRIVE-;11/6/2021;Action;"Fighting;2D Fighter;Great Soundtrack;Anime;PvP;2.5D;Arcade;Multiplayer;Lore-Rich;Action;2D;Local Multiplayer;Story Rich;3D;Combat;LGBTQ+;Fantasy;Cinematic;Casual;Singleplayer";39,99;86,67;65575;57720;Playable;1967250;3131;No
686810;Hell Let Loose;27/7/2021;Action;"Shooter;Realistic;World War II;Multiplayer;Singleplayer;FPS;War;Military;Action;Tactical;First-Person;Simulation;Massively Multiplayer;Gore;Historical;Strategy;PvP;Violent;Indie;Tanks";49,99;80,93;147146;120393;Playable;4414380;5283;No
1343400;RuneScape ®;14/10/2020;Massively Multiplayer;"Free to Play;MMORPG;Open World;Massively Multiplayer;RPG;Multiplayer;Fantasy;Character Customization;Adventure;Story Rich;PvE;PvP;Lore-Rich;Classic;Point & Click;Exploration;Great Soundtrack;Casual;Action;Singleplayer";0;80,55;26872;22044;Playable;806160;2235;No
1975580;Wild Woods;9/12/2024;Action;"Early Access;Co-op;Action Roguelike;Hack and Slash;Local Co-Op;Multiplayer;Online Co-Op;Casual;Arcade;Crafting;PvE;Cartoony;Colorful;Action;3D;Controller;Fantasy;Loot;Combat;Resource Management;Local Multiplayer";14,99;75,53;1881;1476;Verified;56430;31;No
2499860;DRAGON QUEST VII Reimagined;5/2/2026;Adventure;"RPG;JRPG;3D;Cute;Combat;Singleplayer;Turn-Based;Turn-Based Combat;Time Travel;Party-Based RPG;Dragons;Fantasy;Remake;Nostalgia;Silent Protagonist;Emotional;Story Rich;Magic;Atmospheric;Adventure";59,99;85,61;2521;2252;Verified;75630;410;No
